id;code;date;details;status;payment_method;payment_date;payment_amount
1;Texas Concrete;2020-01-18T16:30:01;capability Loop Unbranded Frozen Towels;CANCELLED;CREDIT_CARD;2020-01-18T04:22:43;75071
2;Rhode Island bypassing SQL;2020-01-18T07:18:05;Frozen online streamline;ISSUED;CREDIT_CARD;2020-01-18T23:05:11;68011
3;lime program;2020-01-18T02:33:08;parse Horizontal Shirt;ISSUED;PAYPAL;2020-01-18T03:23:41;82892
4;Buckinghamshire Director Gloves;2020-01-18T07:03:51;Malagasy Ariary Dynamic;CANCELLED;CREDIT_CARD;2020-01-17T23:38:52;33894
5;attitude-oriented;2020-01-18T09:31:59;Integration structure;CANCELLED;PAYPAL;2020-01-18T11:39:29;72584
6;Internal Licensed Steel Towels RSS;2020-01-18T16:08:09;Chips;PAID;CREDIT_CARD;2020-01-18T17:03:49;90614
7;Toys Cotton;2020-01-18T08:37:30;Small Rubber Pants Brand Savings Account;ISSUED;CASH_ON_DELIVERY;2020-01-18T06:20:54;42722
8;Arizona Barbados Dollar;2020-01-18T17:07:12;tan Cambridgeshire Rubber;ISSUED;CREDIT_CARD;2020-01-18T14:10:40;44406
9;Generic Ethiopian Birr Assurance;2020-01-18T05:36:03;Arizona navigating navigating;ISSUED;CASH_ON_DELIVERY;2020-01-18T13:31:33;93110
10;Concrete;2020-01-18T22:19:49;paradigms system;PAID;CREDIT_CARD;2020-01-18T00:46:01;93817
