id;tracking_code;date;details;invoice_id
1;Mouse withdrawal;2020-01-18T00:40:46;payment unleash Jamaican Dollar;1
2;Rest;2020-01-18T19:57:16;Plains;2
3;Quality Plastic plum;2020-01-18T00:17:38;Minnesota parsing;3
4;Gorgeous Soft Hat Generic;2020-01-18T20:44:50;Architect SSL;4
5;zero tolerance;2020-01-18T17:41:09;user-facing CSS;5
6;ADP Ouguiya;2020-01-18T13:37:37;Garden;6
7;auxiliary;2020-01-18T21:53:37;functionalities Bedfordshire withdrawal;7
8;Data;2020-01-18T00:51:38;Viaduct hybrid;8
9;mesh;2020-01-18T23:17:17;human-resource Shoes Wooden;9
10;calculate value-added Metal;2020-01-18T21:16:11;Re-engineered withdrawal Ball;10
