id;placed_date;status;code;invoice_id;customer
1;2020-01-18T15:17:33;COMPLETED;Georgia calculate withdrawal;88795;one-to-one e-business
2;2020-01-18T20:08:25;CANCELLED;cross-platform Supervisor;47588;Concrete
3;2020-01-18T17:11:10;CANCELLED;Investment Account;79493;revolutionize harness Kyat
4;2020-01-18T14:22:26;COMPLETED;Decentralized Bike;98183;IB Industrial Credit Card Account
5;2020-01-18T21:46:29;CANCELLED;Cotton Egyptian Pound;70149;contingency target
6;2020-01-18T16:12:22;COMPLETED;input Handmade Metal Table;17515;Human
7;2020-01-18T01:45:27;CANCELLED;payment;42230;value-added Cambridgeshire mission-critical
8;2020-01-18T00:50:18;PENDING;connecting hacking Future-proofed;5405;hack green Streamlined
9;2020-01-18T14:23:52;PENDING;back up front-end eco-centric;31482;artificial intelligence card incubate
10;2020-01-18T09:51:33;PENDING;Assistant Papua New Guinea West Virginia;6025;Gloves quantify Rupiah
